Company,Route,Origin,Destination,Service Type
KMB,58X,"旺角東站","屯門(良景邨)",Regular
KMB,59A,"屯門碼頭","葵芳(葵翠邨)",Regular
KMB,59A,"葵芳(葵翠邨)","屯門碼頭",Regular
KMB,59M,"屯門碼頭","荃灣站",Regular
KMB,59M,"悅湖山莊","荃灣站",Special Service
KMB,59M,"新屯門中心","荃灣站",Special Service
KMB,59M,"荃灣站","屯門碼頭",Regular
KMB,59X,"屯門碼頭","旺角東站",Regular
KMB,59X,"新屯門中心","旺角東站",Special Service
KMB,59X,"屯門(龍門居)","旺角東站",Special Service
KMB,59X,"旺角東站","屯門碼頭",Regular
KMB,60M,"屯門站","荃灣站",Regular
KMB,60M,"荃灣站","屯門站",Regular
KMB,60X,"屯門巿中心","佐敦(西九龍站)",Regular
KMB,60X,"佐敦(西九龍站)","屯門巿中心",Regular
KMB,61A,"屯門(友愛南)","屯門公路轉車站- 市區方向",Regular
KMB,61M,"屯門(友愛南)","荔景(北)",Regular
KMB,61M,"荔景(北)","屯門(友愛南)",Regular
KMB,61P,"掃管笏","荃灣站",Regular
KMB,61P,"荃灣站","掃管笏",Regular
Citybus,61R,"沙田第一城","藍田站",Regular
KMB,61X,"屯門巿中心","九龍城碼頭",Regular
KMB,61X,"九龍城碼頭","屯門巿中心",Regular
KMB,62P,"屯門巿中心","鯉魚門邨",Regular
KMB,62X,"兆康站(南)","鯉魚門邨",Regular
KMB,62X,"鯉魚門邨","兆康站(南)",Regular
Citybus,63,"北角碼頭","赤柱市場",Regular
KMB,63X,"洪水橋(洪福邨)","佐敦(西九龍站)",Regular
KMB,63X,"佐敦(西九龍站)","洪水橋(洪福邨)",Regular
KMB,64K,"元朗(西)","大埔墟站",Regular
KMB,64K,"梧桐寨 (白牛石)","大埔(太和)",Special Service
KMB,64K,"大埔墟站","元朗(西)",Regular
KMB,64P,"大埔墟站","嘉道理農場",Regular
KMB,64S,"上村球場","錦上路站",Regular
KMB,64X,"洪水橋(洪元路)","香港科學園",Regular
Citybus,65,"北角碼頭","赤柱市場",Regular
KMB,65K,"梧桐寨 (白牛石)","大埔中心",Regular
KMB,65X,"天恩邨","香港科學園",Regular
Citybus,66,"中環 (交易廣場)","赤柱廣場 (馬坑)",Regular
KMB,66M,"屯門(大興邨)","荃灣(如心廣場)",Regular
KMB,66M,"荃灣(如心廣場)","屯門(大興邨)",Regular
KMB,66X,"屯門(大興邨)","奧運站",Regular
KMB,66X,"奧運站","屯門(大興邨)",Regular
KMB,67A,"屯門(寶田邨)","葵芳(葵翠邨)",Regular
KMB,67A,"葵芳(葵翠邨)","屯門(寶田邨)",Regular
KMB,67M,"屯門(兆康苑)","葵芳站",Regular
KMB,67M,"葵芳站","屯門(兆康苑)",Regular
KMB,67X,"屯門(兆康苑)","旺角東站",Regular
KMB,67X,"旺角東站","屯門(兆康苑)",Regular
KMB,68,"峻巒","形點 (循環線)",Regular
KMB,68A,"朗屏邨","青衣站",Regular
KMB,68A,"青衣站","朗屏邨",Regular
KMB,68E,"元朗公園","青衣站",Regular
KMB,68E,"青衣站","元朗公園",Regular
KMB,68F,"峻巒","元朗公園(循環線)",Regular
KMB,68M,"荃灣站","元朗(西)",Regular
KMB,68M,"元朗(西)","荃灣站",Regular
KMB,68X,"洪水橋(洪福邨)","旺角(柏景灣)",Regular
KMB,68X,"元朗(西)","旺角(柏景灣)",Special Service
KMB,68X,"朗屏邨悅屏樓","旺角(柏景灣)",Special Service
KMB,68X,"旺角(柏景灣)","洪水橋(洪福邨)",Regular
KMB,69,"天水圍市中心","元朗(德業街)",Regular
